BATHRM,HF_BATHRM,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,ZIPCODE,WARD,PRIME,AC_N,AC_Y,QUADRANT_NE,QUADRANT_NW,QUADRANT_SE,QUADRANT_SW,PRICE,INDEX_BIN
2,0,7,3,2011.0,1.0,0,806,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,232000.0,9
2,0,7,3,2018.0,1.0,0,1191,20037.0,2,5.125,0.0,1.0,0.0,1.0,0.0,0.0,1264000.0,50
2,1,9,4,2004.0,1.0,2,1700,20009.0,2,4.75,0.0,1.0,0.0,1.0,0.0,0.0,475000.0,18
2,1,7,3,2014.0,1.0,1,1755,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,870000.0,34
2,1,6,3,2004.0,1.0,2,1755,20009.0,2,4.75,0.0,1.0,0.0,1.0,0.0,0.0,249000.0,9
2,0,7,3,2007.0,1.0,0,1755,20009.0,2,7.5,1.0,0.0,0.0,1.0,0.0,0.0,440000.0,17
2,0,6,3,2007.0,1.0,1,1755,20009.0,2,7.5,1.0,0.0,0.0,1.0,0.0,0.0,1225000.0,48
2,1,8,3,2013.0,1.0,2,1473,20005.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1440000.0,57
2,0,7,3,2001.0,1.0,1,1800,20009.0,1,6.7727272727272725,0.0,1.0,0.0,1.0,0.0,0.0,1240000.0,49
2,0,8,2,2016.0,1.0,0,1800,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,818000.0,32
3,0,6,3,2003.0,1.0,0,1192,20037.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1412500.0,56
3,1,7,3,2012.0,1.0,2,1520,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1000000.0,39
2,1,5,2,2005.0,1.0,1,894,20037.0,2,6.375,0.0,1.0,0.0,1.0,0.0,0.0,1300000.0,51
1,0,4,2,2010.0,1.0,0,600,20037.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,735000.0,29
3,1,5,2,2012.0,1.0,0,1138,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1125000.0,44
1,0,6,3,2017.0,1.0,0,1920,20037.0,2,4.25,1.0,0.0,0.0,1.0,0.0,0.0,797500.0,31
2,0,7,3,2006.0,1.0,0,1012,20001.0,6,7.875,0.0,1.0,0.0,1.0,0.0,0.0,1115000.0,44
1,1,4,2,2014.0,1.0,0,1562,20001.0,6,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1479000.0,59
2,0,4,2,2002.0,1.0,0,911,20001.0,6,4.25,0.0,1.0,0.0,1.0,0.0,0.0,664150.0,26
1,1,5,2,2001.0,1.0,0,1162,20001.0,6,6.7727272727272725,0.0,1.0,0.0,1.0,0.0,0.0,800000.0,31
1,0,5,2,2000.0,1.0,0,1256,20001.0,6,9.083333333333334,1.0,0.0,0.0,1.0,0.0,0.0,230000.0,9
