index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
2918,2,1,Y,6,4,2016,2,0,1710,-77.00997304,38.90739188,NW,730000,20001,5
2919,1,1,N,6,3,2016,2,1,1615,-77.01021965,38.90741258,NW,625000,20001,5
2920,4,1,Y,9,5,2017,1,2,1615,-77.01033725,38.90742896,NW,1250000,20001,5
2921,3,1,Y,9,4,2016,1,0,1615,-77.01039824,38.90742058,NW,1050000,20001,5
2922,3,0,Y,7,3,2017,2,0,1615,-77.01057926,38.90742354,NW,826000,20001,5
2923,2,1,Y,8,4,1999,1,0,975,-77.0105408,38.90776108,NW,110000,20001,5
2924,2,1,Y,8,3,2013,1,0,975,-77.01038238,38.90776065,NW,475000,20001,5
2925,2,1,Y,6,2,1996,1,0,1800,-77.00247277,38.89591617,NE,177000,20002,6
2926,4,1,Y,8,4,2017,1,1,1911,-77.00227288,38.89570322,NE,2500000,20002,6
2927,4,1,Y,8,4,2018,1,1,1895,-77.00226838,38.89563187,NE,2435000,20002,6
2928,4,1,Y,8,4,2016,1,1,1908,-77.00226849,38.8955883,NE,1930470,20002,6
2929,4,1,Y,8,4,2018,1,1,1908,-77.00226849,38.89554056,NE,2375000,20002,6
2930,4,1,Y,8,4,2016,1,1,1908,-77.0022746,38.89548335,NE,1930470,20002,6
2931,4,1,Y,8,4,2016,1,1,1888,-77.0022588,38.89543579,NE,1930470,20002,6
2932,2,0,Y,6,2,2004,1,0,1125,-77.00224262,38.89405334,NE,523000,20002,6
2933,1,0,N,5,2,2009,1,0,1125,-77.00224516,38.89401658,NE,440000,20002,6
2934,2,0,N,7,3,2002,2,0,1631,-77.00224689,38.89419234,NE,28628,20002,6
2935,4,1,Y,9,4,2017,2,2,2590,-77.00258947,38.89375416,NE,1500000,20002,6
2936,1,1,Y,4,2,2016,1,0,1125,-77.00224758,38.8939837,NE,725000,20002,6
2937,3,2,Y,10,5,2015,1,0,1633,-77.00253703,38.8941499,NE,1011100,20002,6
2938,2,1,Y,6,3,2015,1,1,1200,-77.00251822,38.89343797,NE,883000,20002,6
2939,3,1,Y,6,2,2011,2,3,1200,-77.00246266,38.89343797,NE,700000,20002,6
2940,3,1,N,6,3,2002,2,3,1200,-77.00240421,38.89343797,NE,470000,20002,6
2941,3,1,Y,6,4,2018,1,2,1186,-77.00225965,38.89291801,NE,557785,20002,6
2942,2,0,Y,5,2,1996,1,2,1419,-77.00303348,38.89342922,NE,179000,20002,6
2943,2,0,Y,8,3,1994,1,1,1335,-77.00293884,38.89343139,NE,225000,20002,6
2944,3,2,Y,12,5,2002,2,4,2203,-77.00279587,38.89253082,NE,69600,20002,6
2945,1,0,N,6,3,2014,1,0,1113,-77.01141877,38.90708429,NW,615000,20001,5
